user_id,item_id,rating,movie_name
527,200,3,"Shining, The (1980)"
407,25,3,"Birdcage, The (1996)"
533,462,2,Like Water For Chocolate (Como agua para chocolate) (1992)
537,1048,2,She's the One (1996)
374,932,1,First Kid (1996)
498,262,2,In the Company of Men (1997)
592,196,5,Dead Poets Society (1989)
591,615,4,"39 Steps, The (1935)"
308,443,3,"Birds, The (1963)"
217,578,5,Demolition Man (1993)
303,387,5,"Age of Innocence, The (1993)"
276,786,3,"Perez Family, The (1995)"
677,908,4,Half Baked (1998)
389,396,3,Serial Mom (1994)
297,283,4,Emma (1996)
10,615,4,"39 Steps, The (1935)"
214,179,5,"Clockwork Orange, A (1971)"
315,187,4,"Godfather: Part II, The (1974)"
844,168,4,Monty Python and the Holy Grail (1974)
843,672,3,Candyman (1992)
425,445,3,"Body Snatcher, The (1945)"
280,389,5,Black Beauty (1994)
1,55,5,"Professional, The (1994)"
758,1052,5,Dracula: Dead and Loving It (1995)
109,291,3,Absolute Power (1997)
377,748,4,"Saint, The (1997)"
796,810,3,"Shadow, The (1994)"
560,240,3,Beavis and Butt-head Do America (1996)
462,22,5,Braveheart (1995)
360,69,3,Forrest Gump (1994)
533,228,4,Star Trek: The Wrath of Khan (1982)
498,89,5,Blade Runner (1982)
416,284,4,Tin Cup (1996)
382,151,4,Willy Wonka and the Chocolate Factory (1971)
5,63,1,"Santa Clause, The (1994)"
780,318,5,Schindler's List (1993)
291,175,2,Brazil (1985)
244,168,5,Monty Python and the Holy Grail (1974)
655,304,2,Fly Away Home (1996)
5,62,4,Stargate (1994)
280,735,2,Philadelphia (1993)
399,401,3,"Brady Bunch Movie, The (1995)"
82,504,4,Bonnie and Clyde (1967)
451,683,1,Rocket Man (1997)
450,616,4,Night of the Living Dead (1968)
882,820,3,Space Jam (1996)
200,241,4,"Last of the Mohicans, The (1992)"
59,404,3,Pinocchio (1940)
85,428,5,Harold and Maude (1971)
145,105,2,Sgt. Bilko (1996)
941,7,4,Twelve Monkeys (1995)
715,89,3,Blade Runner (1982)
506,176,5,Aliens (1986)
328,427,3,To Kill a Mockingbird (1962)
882,193,5,"Right Stuff, The (1983)"
771,993,4,Hercules (1997)
151,274,5,Sabrina (1995)
429,584,4,"Secret Garden, The (1993)"
458,117,4,"Rock, The (1996)"
757,258,5,Contact (1997)
758,751,4,Tomorrow Never Dies (1997)
843,392,2,"Man Without a Face, The (1993)"
269,1428,5,SubUrbia (1997)
660,33,2,Desperado (1995)
145,597,4,Eraser (1996)
85,58,4,Quiz Show (1994)
328,751,3,Tomorrow Never Dies (1997)
168,930,3,Chain Reaction (1996)
490,151,1,Willy Wonka and the Chocolate Factory (1971)
560,478,4,"Philadelphia Story, The (1940)"
532,1502,1,Naked in New York (1994)
188,191,3,Amadeus (1984)
329,333,4,"Game, The (1997)"
254,141,3,"20,000 Leagues Under the Sea (1954)"
125,258,5,Contact (1997)
503,463,1,"Secret of Roan Inish, The (1994)"
437,721,2,Mallrats (1995)
464,299,4,Hoodlum (1997)
546,98,5,"Silence of the Lambs, The (1991)"
782,682,4,I Know What You Did Last Summer (1997)
838,204,4,Back to the Future (1985)
255,452,3,Jaws 2 (1978)
872,591,3,Primal Fear (1996)
715,761,3,Nick of Time (1995)
589,326,1,G.I. Jane (1997)
144,257,4,Men in Black (1997)
58,240,4,Beavis and Butt-head Do America (1996)
211,520,4,"Great Escape, The (1963)"
621,692,4,"American President, The (1995)"
628,242,5,Kolya (1996)
269,179,4,"Clockwork Orange, A (1971)"
331,511,5,Lawrence of Arabia (1962)
786,9,5,Dead Man Walking (1995)
545,172,5,"Empire Strikes Back, The (1980)"
943,73,3,Maverick (1994)
276,453,1,Jaws 3-D (1983)
886,475,5,Trainspotting (1996)
405,555,1,White Man's Burden (1995)
146,262,4,In the Company of Men (1997)
389,154,3,Monty Python's Life of Brian (1979)
145,680,3,Kull the Conqueror (1997)
58,340,4,Boogie Nights (1997)
374,963,5,Some Folks Call It a Sling Blade (1993)
518,595,3,"Fan, The (1996)"
158,4,4,Get Shorty (1995)
244,629,4,Victor/Victoria (1982)
500,98,4,"Silence of the Lambs, The (1991)"
488,692,4,"American President, The (1995)"
85,51,2,Legends of the Fall (1994)
825,678,4,Volcano (1997)
637,741,1,"Last Supper, The (1995)"
102,187,3,"Godfather: Part II, The (1974)"
590,9,3,Dead Man Walking (1995)
452,290,2,Fierce Creatures (1997)
280,723,5,Boys on the Side (1995)
222,249,1,Austin Powers: International Man of Mystery (1997)
684,38,3,"Net, The (1995)"
393,780,4,Dumb & Dumber (1994)
457,120,2,Striptease (1996)
207,1102,3,Two Much (1996)
774,986,1,Turbulence (1997)
85,259,2,George of the Jungle (1997)
198,746,4,Real Genius (1985)
313,183,5,Alien (1979)
401,507,4,"Streetcar Named Desire, A (1951)"
405,606,3,All About Eve (1950)
616,879,4,"Peacemaker, The (1997)"
514,647,3,Ran (1985)
714,300,5,Air Force One (1997)
659,492,3,East of Eden (1955)
451,328,5,Conspiracy Theory (1997)
314,1221,3,When a Man Loves a Woman (1994)
